Fecha: 03/05/2023	 Hora:  21:00	Temperature (°C): 28.3	Wind Speed (km/h): 15	Wind Direction: South-west	Gust (km/h): 39	Gust Direction: South-west	Precipitation (mm): 0.0	Pressure (hPa): 953.2	Tendency (hPa): 1.2	Humidity (%): 15.0
Fecha: 03/05/2023	 Hora:  20:00	Temperature (°C): 30.2	Wind Speed (km/h): 14	Wind Direction: South-west	Gust (km/h): 38	Gust Direction: South-west	Precipitation (mm): 0.0	Pressure (hPa): 952.4	Tendency (hPa): 0.1	Humidity (%): 14.0
Fecha: 03/05/2023	 Hora:  19:00	Temperature (°C): 31.2	Wind Speed (km/h): 14	Wind Direction: South-west	Gust (km/h): 41	Gust Direction: South-west	Precipitation (mm): 0.0	Pressure (hPa): 952.2	Tendency (hPa): -0.7	Humidity (%): 11.0
Fecha: 03/05/2023	 Hora:  18:00	Temperature (°C): 31.9	Wind Speed (km/h): 17	Wind Direction: South-west	Gust (km/h): 35	Gust Direction: South-west	Precipitation (mm): 0.0	Pressure (hPa): 952.0	Tendency (hPa): -1.6	Humidity (%): 11.0
Fecha: 03/05/2023	 Hora:  17:00	Temperature (°C): 31.8	Wind Speed (km/h): 17	Wind Direction: South-west	Gust (km/h): 29	Gust Direction: South	Precipitation (mm): 0.0	Pressure (hPa): 952.3	Tendency (hPa): -2.1	Humidity (%): 13.0
Fecha: 03/05/2023	 Hora:  16:00	Temperature (°C): 32.0	Wind Speed (km/h): 12	Wind Direction: West	Gust (km/h): 26	Gust Direction: East	Precipitation (mm): 0.0	Pressure (hPa): 952.9	Tendency (hPa): -2.5	Humidity (%): 17.0
Fecha: 03/05/2023	 Hora:  15:00	Temperature (°C): 30.2	Wind Speed (km/h): 9	Wind Direction: East	Gust (km/h): 23	Gust Direction: North-east	Precipitation (mm): 0.0	Pressure (hPa): 953.6	Tendency (hPa): -2.3	Humidity (%): 19.0
Fecha: 03/05/2023	 Hora:  14:00	Temperature (°C): 29.1	Wind Speed (km/h): 8	Wind Direction: South-east	Gust (km/h): 16	Gust Direction: South-east	Precipitation (mm): 0.0	Pressure (hPa): 954.4	Tendency (hPa): -1.5	Humidity (%): 20.0
Fecha: 03/05/2023	 Hora:  13:00	Temperature (°C): 27.1	Wind Speed (km/h): 4	Wind Direction: South	Gust (km/h): 13	Gust Direction: East	Precipitation (mm): 0.0	Pressure (hPa): 955.4	Tendency (hPa): -0.5	Humidity (%): 21.0
Fecha: 03/05/2023	 Hora:  12:00	Temperature (°C): 24.8	Wind Speed (km/h): 8	Wind Direction: South-east	Gust (km/h): 15	Gust Direction: South-east	Precipitation (mm): 0.0	Pressure (hPa): 955.9	Tendency (hPa): -0.1	Humidity (%): 28.0
Fecha: 03/05/2023	 Hora:  11:00	Temperature (°C): 21.8	Wind Speed (km/h): 10	Wind Direction: East	Gust (km/h): 23	Gust Direction: East	Precipitation (mm): 0.0	Pressure (hPa): 955.9	Tendency (hPa): -0.1	Humidity (%): 36.0
Fecha: 03/05/2023	 Hora:  10:00	Temperature (°C): 18.9	Wind Speed (km/h): 17	Wind Direction: East	Gust (km/h): 32	Gust Direction: East	Precipitation (mm): 0.0	Pressure (hPa): 955.9	Tendency (hPa): Unknown	Humidity (%): 42.0
